model,experiment,train_rows,accuracy,precision,recall,f1,roc_auc,pr_auc,train_seconds,predict_seconds
XGBoost,A (binary),320032,0.9989751024897511,0.9959762967298266,0.9980206729711898,0.9969974368363237,0.9999687119001274,0.9998425696959702,7.94,0.16
Random Forest,A (binary),320032,0.9987626237376263,0.9962620932277925,0.9964811963932263,0.9963716327652556,0.9999567955695621,0.999781564131032,28.85,0.25
Decision Tree,A (binary),320032,0.9982751724827518,0.9938556067588326,0.9960413459423796,0.9949472759226714,0.9976541784262419,0.9920047381918434,9.24,0.02
KNN,A (binary),50000,0.9825767423257674,0.9478534337745923,0.9500769738288982,0.9489639012960387,0.9922035684114632,0.9761836532474949,0.06,8.11
SVM (RBF),A (binary),30000,0.9557169283071693,0.980034227039361,0.7556630745546514,0.8533465789146901,,,13.27,56.76
Logistic Regression,A (binary),320032,0.9195955404459554,0.9134924277191372,0.583681548273587,0.7122601422373306,0.9618400622387692,0.8968791490778529,4.21,0.04
XGBoost,B (multi),320032,0.9988126187381262,0.9778099721345117,0.9442941402373989,0.9582806810488488,0.9999733298451327,0.9874743554081695,38.59,0.57
Random Forest,B (multi),320032,0.9987251274872513,0.9876352989460138,0.9356919809162889,0.9582512253112301,0.9904132627411685,0.9610057233175162,29.64,0.34
Decision Tree,B (multi),320032,0.9982501749825018,0.9760635020485409,0.9419335097142151,0.9563277709352828,0.9725765565230997,0.9271737039851905,7.1,0.02
KNN,B (multi),50000,0.9822517748225178,0.6885573923898861,0.6250794720669257,0.6493618507552825,0.944861545641682,0.7500038834897211,0.12,8.34
Logistic Regression,B (multi),320032,0.9425307469253075,0.636769017406271,0.46352962317256224,0.47793311278209266,0.9678554707832225,0.5759890407472306,66.48,0.03
SVM (RBF),B (multi),30000,0.9563293670632936,0.4298193160296784,0.35703051472346864,0.38443472099106163,,,7.19,30.33
