,gain,permutation,permutation_std,gain_rank,permutation_rank,rank_shift
Destination Port,0.006634397,0.1431889855535479,0.0031824092306945505,10.0,1.0,9.0
Fwd Packet Length Max,0.27769092,0.07973038900191654,0.0004899003507570426,2.0,2.0,0.0
Init_Win_bytes_forward,0.003310685,0.06652366613040198,0.0026344514979036392,14.0,3.0,11.0
Bwd Header Length,0.05172675,0.032395913235103754,0.0011765877157731061,4.0,4.0,0.0
Init_Win_bytes_backward,0.011959646,0.02815663317111452,0.00053184729545031,7.0,5.0,2.0
Bwd Packets/s,0.008305374,0.026998531360785116,0.0008613359636626388,9.0,6.0,3.0
Packet Length Variance,0.4704566,0.02131215867478924,0.001330195669002955,1.0,7.0,-6.0
Fwd IAT Min,0.0041106795,0.01562519568214569,0.00014700294523880124,13.0,8.0,5.0
min_seg_size_forward,0.00835415,0.009034767076664152,0.00020941901326501858,8.0,9.0,-1.0
Fwd Header Length,0.046423342,0.007114958092021362,0.0002712761698879456,5.0,10.0,-5.0
Bwd Packet Length Max,0.014470171,0.0071007382630677626,0.0006763065346046819,6.0,11.0,-5.0
Packet Length Mean,0.0041113556,0.005519675770844423,0.0004037182625655557,12.0,12.0,0.0
Flow IAT Min,0.00067520014,0.003534890183359729,0.00020776889386027743,22.0,13.0,9.0
Flow IAT Mean,0.0014497937,0.0022083127966527672,0.00040599409056616076,19.0,14.0,5.0
Total Length of Fwd Packets,0.07176913,0.0020301285968827186,0.00045071446132342885,3.0,15.0,-12.0
Bwd IAT Std,0.0014270641,0.0007047903575553071,0.00023487301611397124,20.0,16.0,4.0
Fwd IAT Mean,0.0021020104,0.0006461906924575933,0.00023861163849017535,17.0,17.0,0.0
Bwd IAT Min,0.006342554,0.0004699800080793626,5.8779778674322715e-05,11.0,18.0,-7.0
Flow Duration,0.0004691173,0.00041136346408034987,0.00023427082599798644,24.0,19.0,5.0
Flow IAT Max,0.00068385317,0.0004110371695437154,0.00010965958916509028,21.0,20.0,1.0
Fwd IAT Std,0.00044607226,0.00041001615801552484,5.8575010785379745e-05,25.0,21.0,4.0
Flow Bytes/s,0.0005653353,0.00026415661206047325,0.0001436808591900369,23.0,22.0,1.0
Flow IAT Std,0.0018378161,0.00020556570158243305,7.194806202175546e-05,18.0,23.0,-5.0
Max Packet Length,0.0025515635,2.9364070987458745e-05,5.872814197491749e-05,15.0,24.0,-9.0
Flow Packets/s,0.002126341,-5.871094486158413e-05,7.190592861377952e-05,16.0,25.0,-9.0
