,gain,permutation,permutation_std,gain_rank,permutation_rank,rank_shift
Destination Port,0.014625904,0.29759061965677314,0.007581478753192958,13.0,1.0,12.0
Bwd Packet Length Max,0.09635292,0.14055215951953481,0.00471494849010949,4.0,2.0,2.0
Bwd Header Length,0.053427722,0.13255556017559195,0.0036609340442083312,8.0,3.0,5.0
Bwd IAT Min,0.08305748,0.10778497532350291,0.004571789182359626,5.0,4.0,1.0
Init_Win_bytes_backward,0.054861505,0.09564548371803083,0.0064303021575930945,7.0,5.0,2.0
Fwd IAT Min,0.011567676,0.09005156995710509,0.002341670363447234,16.0,6.0,10.0
Init_Win_bytes_forward,0.008162783,0.06997042329919197,0.005473800550564811,19.0,7.0,12.0
Bwd IAT Std,0.011680543,0.06490129820500345,0.003090230039254692,14.0,8.0,6.0
Fwd Header Length,0.024824295,0.05833955685829908,0.005761628756671002,11.0,9.0,2.0
Bwd Packets/s,0.00711546,0.046299306025626374,0.021919097052753383,20.0,10.0,10.0
min_seg_size_forward,0.020471737,0.040691752054633136,0.005843677470615706,12.0,11.0,1.0
Flow Bytes/s,0.040376987,0.03523845876325673,0.0028473691619115673,9.0,12.0,-3.0
Packet Length Variance,0.18487263,0.02632607588543594,0.02941176933863594,1.0,13.0,-12.0
Fwd IAT Mean,0.009279104,0.02015842614140264,0.00531423276297472,18.0,14.0,4.0
Total Length of Fwd Packets,0.11735876,0.019292773526177375,0.00032211341871851164,3.0,15.0,-12.0
Packet Length Mean,0.068710156,0.018225364533623133,0.0008079733740840759,6.0,16.0,-10.0
Flow IAT Min,0.0012131782,0.014652426674479035,0.005964406188993499,25.0,17.0,8.0
Flow Duration,0.0022748378,0.012367174080292597,0.004785967120530567,22.0,18.0,4.0
Fwd Packet Length Max,0.1276759,0.012136410694506838,0.003365646650116462,2.0,19.0,-17.0
Flow IAT Mean,0.0016920477,0.009314486355200446,0.0034443233850574282,24.0,20.0,4.0
Fwd IAT Std,0.011627393,0.008330111682527752,0.0023012307076912663,15.0,21.0,-6.0
Max Packet Length,0.009885002,0.0076620386770207775,0.003558864219373374,17.0,22.0,-5.0
Flow IAT Max,0.03434331,0.006135598778495943,0.006333359696308409,10.0,23.0,-13.0
Flow IAT Std,0.0028380577,0.005336024945913431,0.0041603680273565495,21.0,24.0,-3.0
Flow Packets/s,0.0017045817,0.004552259371962642,0.0014364968550666267,23.0,25.0,-2.0
