,abs_correlation_with_attack
Bwd Packet Length Std,0.6110425701627576
Bwd Packet Length Max,0.5957431734319398
Avg Bwd Segment Size,0.5937336870467154
Bwd Packet Length Mean,0.5937336870467154
Packet Length Std,0.5726781517778806
Max Packet Length,0.5546282739925354
Packet Length Variance,0.5362283507853831
Average Packet Size,0.5208157665090162
Packet Length Mean,0.5201104366729404
Fwd IAT Std,0.5053982623992471
Idle Max,0.474803575834047
Flow IAT Max,0.47065959894046916
Idle Mean,0.47005993454659534
Fwd IAT Max,0.46995625166018107
Idle Min,0.45765377232163945
Flow IAT Std,0.41004603019498964
Fwd IAT Total,0.2787095563564449
Flow Duration,0.2776212717646797
Min Packet Length,0.2757369317516308
FIN Flag Count,0.27169831117433957
Bwd Packet Length Min,0.264849197055759
Flow IAT Mean,0.22366150090929926
Bwd IAT Std,0.19713074426878263
Fwd IAT Mean,0.192058823795748
Destination Port,0.16171026738499703
Bwd IAT Max,0.1454916390865645
URG Flag Count,0.14532226030551768
PSH Flag Count,0.14211211922711295
Fwd Packet Length Min,0.13042046508821312
Idle Std,0.12858612082652165
ACK Flag Count,0.10326840414343269
Init_Win_bytes_backward,0.09417632481918108
Fwd PSH Flags,0.0826633694206372
SYN Flag Count,0.0826633694206372
Fwd Packets/s,0.07590975767486532
Fwd Packet Length Mean,0.07506932083364447
Avg Fwd Segment Size,0.07506932083364447
Flow Packets/s,0.06909585274374858
Fwd Packet Length Max,0.05014156155067124
Down/Up Ratio,0.042542378473688684
Active Min,0.03686361554087106
Bwd IAT Min,0.0329277824938633
Active Mean,0.02755577956581024
Fwd Packet Length Std,0.027295013137193926
Active Std,0.023021051808270628
Flow Bytes/s,0.02218899196272667
Fwd IAT Min,0.021892768626794203
Bwd IAT Mean,0.021361651675813817
Flow IAT Min,0.01780984900349739
Bwd Packets/s,0.01658360072950539
Subflow Fwd Bytes,0.015324339850524477
Total Length of Fwd Packets,0.015304107746414
Active Max,0.008872383202997804
ECE Flag Count,0.007528154892170656
RST Flag Count,0.007511743194610479
Bwd IAT Total,0.004597015838640714
Init_Win_bytes_forward,0.004488705238819711
Total Backward Packets,0.003217232994186955
Subflow Bwd Packets,0.003217232994186955
Total Fwd Packets,0.0031011407965723164
Subflow Fwd Packets,0.0031011407965723164
act_data_pkt_fwd,0.0026733785155401008
Fwd URG Flags,0.0025649032333487495
CWE Flag Count,0.0025649032333487495
Total Length of Bwd Packets,0.0021598285550115757
Subflow Bwd Bytes,0.00215978541688163
min_seg_size_forward,0.001230818273820103
Bwd Header Length,0.0007919453000215423
Fwd Header Length,0.0005987744497156244
Fwd Header Length.1,0.0005987744497156244
